id,capacity,address3,postalCode,stateName,latitude,longitude
371fe959-a9ba-44d9-8009-5d55627e3ad6,11.07,JOHOR BAHRU,81100,Johor,1.558245972,103.7765774
3785b44b-4466-44f3-b5cb-69de05f275a3,969.96,,81700,Johor,1.9343998,103.3587288
38578fc6-7cad-4951-a8d9-949bf1da6823,223.86,MASAI,81750,Johor,1.4856819,103.8606824
39db486d-a3fa-459c-a475-618be9474eff,561,Senai,81400,Johor,1.577861933,103.6530364
3a077890-947f-4b3b-a6a8-ca996cb3ed45,3.15,Senai,,Johor,1.6110927,103.6423726
3a0d3cd8-c01e-45c3-941e-ca1d0a8127f8,401.79,PULAU SATU,81550,Johor,1.3603154,103.5880506
3a780195-2a3c-4443-aef1-ee87dce18153,7.38,JOHOR BAHRU,81100,Johor,1.568101759,103.7552522
3abfdd7e-958c-49fb-9d76-d32e02811720,935.4,,81400,Johor,1.6362222,103.6563238
3ad89f76-e799-4ecf-b0b8-3302df2f58cf,6.765,MASAI,81750,Johor,1.509908767,103.8586073
3c889331-882c-4d0f-af60-2b74d053552b,17.22,JOHOR BAHRU,81100,Johor,1.565917494,103.7888891
3d390f74-84e2-4fad-8747-c15e3cd56db7,2632.62,Pasir Gudang,81700,Johor,1.4675474,103.8862757
3d487469-7e85-4d65-b7cb-fad16e9cb983,559.38,YONG PENG,83700,Johor,0.4976317,101.3943308
3e181cce-8648-49bc-8427-ca181d1c2491,7.14,,81200,Johor,1.462543645,103.697882
3e5f5cc9-643e-4d1a-a2b8-7678ea60753d,448.8,YONG PENG,83700,Johor,1.982743267,103.1021443
41c6bfb0-4b15-4353-b484-b3218cd844d4,133.525,Nusajaya,79250,Johor,1.4788714,103.6365662
43548e3b-262a-4f42-8de2-c354333689eb,12.75,Yong Peng,83700,Johor,2.0175192,103.084079
43b9e02a-f363-4bdf-91c4-f09a33e34c6e,3.15,Senai,,Johor,1.6107124,103.6405378
447a4b14-1f28-4e51-874a-142fde8b6d39,336.42,BATU PAHAT,83700,Johor,2.054331,103.045912
44f8b2f6-0ce6-45e8-bb4a-2f5f5ff2b99d,12.3,KULAI,81000,Johor,1.652636975,103.6296598
4558435f-5e59-49c3-9d21-39acf86e9daa,7.38,Johor Bahru,,Johor,1.5582613,103.6121126
4610e8a4-0b7a-4ab9-9210-4bf6bc90ee89,548.27,,81380,Johor,1.9343998,103.3587288
48fcac06-fd91-475f-99c7-8e40f4d2201b,8.61,JOHOR BAHRU,81100,Johor,1.559952801,103.7902536
49ca3025-cb2e-4f95-b63f-b20c90dd09fa,11.07,BATU PAHAT,83000,Johor,1.872326369,102.9357877
4ff5872e-a0ed-4250-a524-57200d4c0ba4,4.44,SKUDAI,81300,Johor,1.55810477,103.6801139
503f267d-e0b9-4676-bf7f-ce00b6047be3,573.32,JOHOR BAHRU,81100,Johor,1.470059006,103.9676368
51be7ea9-8aac-4d06-969f-4d554c190bac,17.22,BATU PAHAT,83000,Johor,1.868346,102.934655
52651b13-907e-48b0-9088-f97234c875db,224.4,JOHOR BAHRU,80350,Johor,1.507801,103.7261135
53bdc349-50ac-4264-83f8-7f74cf48b967,719.64,BATU PAHAT,83300,Johor,1.860717462,102.9944312
54f98240-7f0f-4beb-b149-0ccbdc855c7f,5.85,ISKANDAR PUTERI,79100,Johor,1.460155776,103.6287316
55b1eb30-5a8b-4af9-accf-d08a1e959de0,5.67,MUAR,84000,Johor,2.028960581,102.568987
568418f6-f893-4673-bb8c-c070b0eead2b,33,Ulu Tiram,81800,Johor,1.553576796,103.8220541
568aca4c-1669-4cc1-ad0f-f5659e039bc6,16.65,YONG PENG,83700,Johor,2.018497,103.076948
5ae5a970-201a-428d-b48d-0b7cc8d19134,399.6,,,Johor,,
5d6dbca6-5e72-4071-be61-a02947157566,435.24,ULU TIRAM,81800,Johor,3.038968,101.5950033.038968
5ebf2fcf-3471-4992-8a51-1017199d22e9,10.455,KULAI,81100,Johor,1.657790712,103.6481295
5ef87aef-eba6-454e-8e6e-868836824c22,7.38,JOHOR BAHRU,81100,Johor,1.554436218,103.7755752
602ddbe4-8b91-4d44-b8df-20582fe2000a,172.325,,,Johor,,
60f786ea-b80d-4d9b-851e-b97de35d2ae7,379.85,JOHOR BAHRU,81100,Johor,1.5024765,103.7058106
6218c464-7ff4-4212-ad65-12b9dea30d81,3.15,Senai,,Johor,1.6110927,103.6423726
623aa80c-5bbf-43e9-a906-f0fb615b8169,351.75,Ulu Tiram,81800,Johor,1.54894767,103.8259388
6319d5dd-c6f5-4cee-b93b-cf6c37462ae3,373.56,JOHOR BAHRU,81200,Johor,1.521180689,103.6957778
633008c1-8499-46cc-a184-a4dee3e8bb6d,241.15,MASAI,81750,Johor,1.4856819,103.8606824
664669bc-67d7-4a54-bb82-6a6c14627846,11.07,JOHOR BAHRU,81100,Johor,1.593573618,103.7657809
6658e7b3-d291-41c8-bcd7-db0cc9075b47,16.65,JOHOR BAHRU,81560,Johor,1.402884054,103.6114689
